,distance,stellar_magnitude,mass_wrt_earth,radius_wrt_earth,orbital_radius,orbital_period,star_mass,planet_type
273,21.0,10.57,15.8,4.026,0.04061,0.014784395,3.601844455889623e+18,Neptune-like
274,21.0,10.57,5.5,2.21,0.0721,0.035318274,474192925081350.2,Neptune-like
275,21.0,10.57,1.7,1.17,0.02815,0.008487337,8211284879277693.0,Super Earth
276,21.0,10.066,2.82,1.49,0.078361,0.039972622,370193457970031.25,Super Earth
277,34.0,9.7,104.304,12.21,1.135,1.6,307533267951553.3,Gas Giant
278,24.0,10.602,5.6,2.23,0.0505,0.019712524,1522192377606086.0,Neptune-like
279,24.0,10.602,3.8,1.77,0.125,0.07693361,99935960277630.28,Super Earth
280,24.0,10.602,2.7,1.45,0.213,0.17029431,20396410244269.535,Super Earth
281,24.0,10.602,2.7,1.45,0.156,0.10677618,51880631517414.55,Super Earth
282,24.0,10.602,4.6,1.99,0.549,0.7014374,1202198485070.8567,Super Earth
283,15.0,9.38,11.09,3.267,0.039,0.012867898,4.754631344580923e+18,Neptune-like
284,52.0,9.58,1838.0018400000001,12.54,1.734535,2.9,93612980494170.81,Gas Giant
285,52.0,9.58,4273.3158,12.100000000000001,9.67808,38.1,542353087920.2931,Gas Giant
286,52.0,9.58,3.79832,1.77,0.039322,0.009856262,6088769510424344.0,Super Earth
287,52.0,9.58,6.69167,2.431,0.180707,0.0971937,8.33404493898469e+16,Neptune-like
288,32.0,10.129,7769.1375,11.770000000000001,10.121898,47.3,351892318812.4815,Gas Giant
289,16.0,10.94,4.4,1.93,0.08,0.04791239,257666728066535.8,Super Earth
290,16.0,10.94,8.7,2.838,0.176,0.15687884,3.198919635791959e+16,Neptune-like
291,47.0,9.98,9.0,2.8930000000000002,0.1344,0.066255994,1.7934188116342515e+17,Neptune-like
292,15.0,9.15,17.2,4.235,0.163,0.104312114,7.235400484681142e+16,Neptune-like
293,15.0,9.15,16.0,4.059,1.165,2.0,196821291488994.16,Neptune-like
294,51.0,9.84,13.64,3.696,0.119,0.05338809,2.7621248219871504e+17,Neptune-like
295,36.0,9.22,2.96,1.53,0.029,0.006570842,1.3699728618551124e+16,Super Earth
296,16.0,8.66,216.24,13.75,3.56,10.0,7872851659559.767,Gas Giant
297,29.0,10.41,286.2,13.64,2.409,5.2,29115575664052.383,Gas Giant
298,29.0,10.41,223.236,13.75,4.974,19.4,2091840700276.2695,Gas Giant
299,35.0,6.12,1405.56,12.649999999999999,0.11,0.04325804,4.2072507136302835e+17,Gas Giant
300,15.0,10.16,723.6407999999999,13.09,0.208317,0.16728269,2.813390789972479e+16,Gas Giant
301,15.0,10.16,227.11559999999997,13.75,0.12959,0.08240931,1.1592564281879254e+17,Gas Giant
302,15.0,10.16,6.83,2.464,0.020807,0.005201916,2.9094131577157222e+19,Neptune-like
303,15.0,10.16,14.6,3.8499999999999996,0.3343,0.34031487,6797828702577994.0,Neptune-like
304,11.0,7.56,4.2,1.88,0.068,0.025462013,912364843256823.4,Super Earth
305,11.0,7.56,7.6,2.618,0.12,0.059685145,2.210037088267017e+17,Neptune-like
306,20.0,10.05,718.68,13.09,0.63965,0.77864474,1298534104166144.2,Gas Giant
307,15.0,12.71,66.78,9.416,0.88,2.1,178522713368702.2,Gas Giant
308,100.0,11.297,9.65,3.0140000000000002,0.1139,0.050102666,3.136247999531715e+17,Neptune-like
309,39.0,9.4,19.66,4.587,0.291,0.20232718,1.9231962859988324e+16,Neptune-like
310,67.0,9.37,3052.8922199999997,12.21,12.341073,52.7,283472437504.17725,Gas Giant
311,97.0,10.37,4.91,1.577,0.0188,0.003285421,5.47989144742045e+16,Super Earth
312,97.0,10.37,0.84,1.241,0.03925,0.009856262,6088769510424344.0,Super Earth
313,97.0,10.37,4.04,2.022,0.05591,0.016974675,2052820977950738.0,Neptune-like
314,49.0,10.03,13.02,3.597,0.039435,0.010403832,7.273532894289306e+18,Neptune-like
315,32.0,9.56,5.63,2.2,0.0905,0.038056124,5.436043977907249e+17,Neptune-like
316,27.0,9.62,6.624,2.42,0.091,0.042436685,4.371688069727443e+17,Neptune-like
317,2137.0,12.316,6264.599999999999,16.169999999999998,0.0338,0.0046543465,3.6342487085413917e+19,Gas Giant
318,493.0,11.593,6360.0,33.0,100.0,1195.9,550481003.7830054,Gas Giant
319,354.0,12.416,5088.0,19.8,320.0,6037.4,21598926.555647034,Gas Giant
320,155.0,14.146,3593.4,13.915,2000.0,155788.8,32438.413412847844,Gas Giant
321,123.0,9.46,26.69772,4.279,0.05254,0.013415469,4.374418689823979e+18,Neptune-like
322,123.0,9.46,731.4,13.09,4.13,9.3,9102614937634.137,Gas Giant
323,466.0,12.665,67.098,10.549,0.0384,0.008761123,1.0256814789621996e+19,Gas Giant
324,805.0,10.421,270.618,13.992,0.04383,0.007939767,1.2488680435367533e+19,Gas Giant
325,805.0,10.421,4541.04,12.100000000000001,1.258,1.2219027,527301272791574.75,Gas Giant
326,726.0,9.988,1093.92,15.62,0.0596,0.012594113,4.963601386444396e+18,Gas Giant
327,628.0,12.41,616.92,11.66,0.0965,0.029842572,8.840148649294158e+17,Gas Giant
328,739.0,10.911,1333.3739999999998,14.178999999999998,0.0413,0.007665982,1.3396658236183745e+19,Gas Giant
329,301.0,10.375,184.44,11.55,0.0882,0.028199865,9.90006417995574e+17,Gas Giant
330,301.0,10.375,1081.2,12.87,5.6,15.3,3363172993105.1157,Gas Giant
331,526.0,12.597,62.646,10.945,0.0559,0.015058179,3.472059490091288e+18,Gas Giant
